"","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"310",2,3.2,1,2,3,2.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",2,2.4,1,1,3,2.71428571428571,0.148148148148148,0.444444444444444,0,2.33333333333333,3.6,1.40740740740741,0.5,0,0.625,1,1
"312",1,10.6,1,2,2,2.25,NA,NA,NA,NA,NA,NA,0.625,1,0.571428571428571,1,0
"313",1,10.9,1,1,4,2.5,0.444444444444444,0.555555555555556,1.125,1.66666666666667,1.83333333333333,1.14814814814815,1,1,0.5,0,0
"314",1,9.1,1,2,4,2.625,0.37037037037037,1.55555555555556,1,2,3.33333333333333,1.03703703703704,NA,NA,NA,NA,NA
"315",2,9.8,1,2,3,2.625,0.851851851851852,1.22222222222222,0.375,1.83333333333333,1.33333333333333,1.43478260869565,0.5,0,1,1,1
"316",1,9.1,1,1,4,2.25,NA,NA,NA,NA,NA,NA,0.625,1,0.428571428571429,0,0
"317",1,11.3,1,2,4,2.71428571428571,0.307692307692308,0.235294117647059,0,1.33333333333333,1.16666666666667,0.518518518518518,NA,NA,NA,NA,NA
"318",2,4.6,1,1,3,2.5,0.222222222222222,0.277777777777778,0.125,1.83333333333333,1.16666666666667,0.923076923076923,0.75,1,0.5,0,0
"319",1,7,1,1,3,2.125,0.407407407407407,1.72222222222222,0.25,2.5,1.5,1.62962962962963,0.75,1,0.625,1,0
"320",2,4.9,1,2,4,2.75,0.222222222222222,0.823529411764706,0.25,1.66666666666667,1.83333333333333,0.851851851851852,0.5,0,0.625,1,1
"321",1,2.1,1,1,1,2.875,0.0384615384615385,0.444444444444444,0,2,2,1.07692307692308,0.375,0,0.625,1,1
"322",2,9.1,1,1,4,2.5,0.037037037037037,0.411764705882353,0,1,0.333333333333333,0.888888888888889,0.5,0,0.5,0,0
"323",2,11.5,1,2,NA,2.57142857142857,0.7,0.933333333333333,0,1.66666666666667,1.5,0.62962962962963,0.5,0,0.625,1,1
"324",1,4.5,1,1,2,2.5,0.3,0.6,0,2.5,0.833333333333333,0.923076923076923,1,1,0.75,1,0
"325",2,1.6,2,2,4,2.375,NA,NA,NA,NA,NA,NA,0.375,0,0.75,1,1
"326",2,2.7,1,1,5,3.16666666666667,NA,NA,NA,NA,NA,NA,0.25,0,0.375,0,1
"327",1,1.5,1,2,4,2.5,NA,NA,NA,NA,NA,NA,0.375,0,0.375,0,0
"328",2,9.3,1,2,3,2.625,NA,NA,NA,NA,NA,NA,0.625,1,0.5,0,0
"329",1,2.2,1,2,3,2,0,0.176470588235294,0,1.4,1.66666666666667,0.769230769230769,0.5,0,0,0,0
"330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",1,1,2,2,5,3,NA,NA,NA,NA,NA,NA,0.75,1,0.75,1,0
"332",1,8.2,1,2,3,2.375,0.136363636363636,0.4375,0.375,0.666666666666667,1.66666666666667,0.62962962962963,NA,NA,NA,NA,NA
"333",2,1.1,1,2,4,2.375,0.333333333333333,0.642857142857143,0.625,2.33333333333333,1.66666666666667,0.92,NA,NA,NA,NA,NA
"334",2,7.3,1,2,4,2.125,0.111111111111111,0.444444444444444,0.5,1.83333333333333,2.16666666666667,1.25925925925926,0.5,0,0.5,0,0
"335",1,1.3,1,2,3,2.25,NA,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA
"336",2,10.1,2,1,4,2.85714285714286,0.363636363636364,0.0555555555555556,0,2.5,2.8,0.518518518518518,1,1,1,1,0
"337",2,2,1,1,4,2.625,NA,NA,NA,NA,NA,NA,0.875,1,0.875,1,0
"338",2,2.7,1,1,4,2.625,0.111111111111111,0.470588235294118,0.375,1.33333333333333,1.5,0.48,0.5,0,0.375,0,0
