"","X.1","X","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"274",274,274,2,-0.0378238759826842,1,2,4,0.471013046993512,-0.0130047160527963,-0.892772504022226,1.6952679252459,2.27437591341601,0.992435408234959,-0.274468650426556,0.375,0,0.5,0,1
"275",275,275,2,1.08266163827663,1,1,3,0.471013046993512,1.05741367969808,-1.55744489938202,-0.797303570307237,2.52831453980787,0.73964047780655,0.493731348507405,0.75,1,0.75,1,0
"276",276,276,1,-0.268512070094896,1,1,4,3.03749085821943,1.42503211864282,3.09526186813655,-0.797303570307237,1.51256003424044,0.73964047780655,0.708827348208935,0.5,0,0.25,0,0
"277",277,277,1,-0.169645701189662,1,2,2,-1.22383079060852,1.77102594353199,2.9623273890646,-0.554970230461794,-0.265010350502546,0.486845547378142,0.923923347910436,0.521274190562416,0,1,1,0
"278",278,278,2,0.983795269371396,1,2,3,0.132044279473106,0.549235249392106,-0.0951656295904701,0.899029808610863,-0.265010350502546,0.486845547378142,-0.391471419494963,0.571428571428571,1,0.875,1,1
"279",279,279,1,1.34630528869059,1,2,3,-0.206924488047299,0.581672170475469,0.436572286697367,-0.797303570307237,1.00468278145674,-0.271539243907068,0.60127934835817,0.75,1,0.504054415609776,0,0
"280",280,280,2,0.950839813069651,1,1,4,1.10052647238856,-0.584809414637664,-0.892772504022226,-0.797303570307237,-0.0110717241106864,1.49802526909176,-1.97987264805998,0.75,1,0.5,0,0
"281",281,281,1,-0.334422982698385,1,1,3,2.40851795411178e-15,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.5,0,0.75,1,1
"282",282,282,1,-0.894665739828041,2,1,3,0.132044279473106,-0.726616979886711,0.151712688686025,-0.797303570307237,-0.0110717241106864,0.234050616949749,-0.279786958111484,0.5,0,0.5,0,0
"283",283,283,2,2.33496897774292,1,1,4,0.132044279473106,-1.20235848910932,-0.85367412782459,-0.797303570307237,0.496805528673018,-0.524334174335461,-0.796844649701658,0.5,0,0.625,1,1
"284",284,284,2,-0.729888458319319,1,1,3,1.14895058203432,-0.726616979886711,-1.55744489938202,-0.797303570307237,1.51256003424044,-0.77712910476387,0.278635348805904,0.5,0,0.504054415609776,0,0
"285",285,285,1,3.15885538528653,1,1,4,-0.206924488047299,-0.250875470664101,-0.361034587734389,1.78758538804415,-1.53470348246181,1.24523033866335,-0.478876650142901,0.625,1,0.5,0,0
"286",286,286,2,0.654240706353951,1,2,4,2.40851795411178e-15,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.5,0,0.375,0,0
"287",287,287,2,-0.30146752639664,2,1,3,0.713133595222361,-0.923118907609092,-1.42451042031006,-0.797303570307237,-1.02682622967811,0.486845547378142,-0.999034889421081,0.25,0,0.625,1,1
"288",288,288,2,-0.795799370922808,1,2,3,-0.88486202308811,0.752318581392273,-0.431411664890131,-0.0703035507709081,-0.265010350502546,-0.271539243907068,-1.11948864925393,0.625,1,0.504054415609776,0,0
"289",289,289,2,-0.367378439000129,2,1,3,-0.88486202308811,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.5,0,0.625,1,1
"290",290,290,2,0.654240706353951,1,2,4,0.471013046993512,-0.504259535358751,-0.85367412782459,-0.797303570307237,0.242866902281174,-2.54669361776269,1.13901934761197,0.5,0,0.5,0,0
"291",291,291,2,-0.202601157491407,2,1,3,0.809981814513917,-0.783499116858978,-0.493969066806349,-0.797303570307237,0.496805528673018,0.486845547378142,-1.11948864925393,0.5,0,0.5,0,0
"292",292,292,2,-0.729888458319319,1,1,3,-0.545893255567704,0.581672170475469,2.10216311271662,1.14136314845631,3.03619179259157,0.992435408234959,0.708827348208935,0.875,1,0.875,1,0
"293",293,293,1,-0.169645701189662,1,2,4,-0.88486202308811,-0.369810847969753,0.0377688494814901,-0.797303570307237,-1.28076485606995,-2.29389868733429,-0.904392649552414,0.5,0,0.375,0,0
"294",294,294,1,1.70881530800977,1,1,3,0.809981814513917,0.11133681476675,0.994897098799605,-0.554970230461794,-0.772887603286251,-0.77712910476387,-0.796844649701658,0.375,0,0.875,1,1
